año,Nacimientos,Defunciones
2023,171992,121270
2022,189310,136958
2021,177255,137439
2020,194952,125833
2019,210188,109658
2018,221731,106796
2017,219186,106388
2016,231749,104026
2015,244670,103327
2014,250997,101960
2013,242005,99770
2012,243635,98711
2011,247358,94985
2010,250643,97930
2009,252240,91965
2008,246581,90168
2007,240569,93000
2006,231383,85639
2005,230831,86102
2004,230352,86138
2003,234486,83672
2002,238981,81079
2001,246116,81873
2000,248893,78814
1999,250674,81984
1998,257105,80257
1997,259959,78472
1996,264793,79123
1995,265932,78531
1994,273766,75445
1993,275916,76261
1992,279098,74090
1991,284483,74862
1990,292146,78434
1989,288608,75453
1988,281752,74435
1987,265774,70559
1986,259347,72209
1985,248879,73534
1984,251765,74669
1983,243712,74296
1982,256503,69887
1981,251569,69971
1980,234662,74109
1979,223098,74528
1978,218581,72436
1977,216872,73446
1976,229231,80537
1975,237966,74481
1974,250462,78493